Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,Status
ld-p16-handcreme-mini-set-3-30-ml,"Handcreme-Mini-Set, 3 × 30 ml","<p>p16</p><p><strong>Gut zu wissen:</strong> Mit Sheabutter und Panthenol, ohne Mineralöl. Im Winter großzügiger dosieren, im Sommer reicht eine dünne Schicht auf der noch feuchten Haut.</p>",LA DOCCIA,Kosmetik,"Kosmetik,koerper,KI-Bild",TRUE,Title,Default Title,,,LD-P16,,shopify,25,deny,manual,24,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/16_handcreme-mini-set_a.webp,1,"Handcreme-Mini-Set, 3 × 30 ml",,active
ld-p16-handcreme-mini-set-3-30-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/16_handcreme-mini-set_b.webp,2,"Handcreme-Mini-Set, 3 × 30 ml",,
ld-p16-handcreme-mini-set-3-30-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/16_handcreme-mini-set_c.webp,3,"Handcreme-Mini-Set, 3 × 30 ml",,
ld-p17-lippenbalsam,Lippenbalsam,"<p>p17</p><p><strong>Gut zu wissen:</strong> Ohne Mineralöl, mit Bienenwachs und Sheabutter. Passt in jede Kosmetiktasche — auch als Mitgebsel beliebt.</p>",LA DOCCIA,Kosmetik,"Kosmetik,koerper,KI-Bild",TRUE,Title,Default Title,,,LD-P17,,shopify,25,deny,manual,9,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/17_lippenbalsam_a.webp,1,Lippenbalsam,,active
ld-p17-lippenbalsam,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/17_lippenbalsam_b.webp,2,Lippenbalsam,,
ld-p17-lippenbalsam,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/17_lippenbalsam_c.webp,3,Lippenbalsam,,
ld-p21-conditioner-250-ml,"Conditioner, 250 ml","<p>p21</p><p><strong>Gut zu wissen:</strong> Sulfatfrei, mit Panthenol und Arganöl. Mild genug für die tägliche Wäsche; als Kur einmal pro Woche 5 Minuten einwirken lassen.</p>",LA DOCCIA,Kosmetik,"Kosmetik,haar,KI-Bild",TRUE,Title,Default Title,,,LD-P21,,shopify,25,deny,manual,18,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/21_conditioner_a.webp,1,"Conditioner, 250 ml",,active
ld-p21-conditioner-250-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/21_conditioner_detail.jpg,2,"Conditioner, 250 ml",,
ld-p22-haarmaske-200-ml,"Haarmaske, 200 ml","<p>p22</p><p><strong>Gut zu wissen:</strong> Sulfatfrei, mit Panthenol und Arganöl. Mild genug für die tägliche Wäsche; als Kur einmal pro Woche 5 Minuten einwirken lassen.</p>",LA DOCCIA,Kosmetik,"Kosmetik,haar,KI-Bild",TRUE,Title,Default Title,,,LD-P22,,shopify,25,deny,manual,24,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/22_haarmaske_a.webp,1,"Haarmaske, 200 ml",,active
ld-p22-haarmaske-200-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/22_haarmaske_b.webp,2,"Haarmaske, 200 ml",,
ld-p22-haarmaske-200-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/22_haarmaske_c.webp,3,"Haarmaske, 200 ml",,
ld-p24-trockenshampoo-150-ml,"Trockenshampoo, 150 ml","<p>p24</p><p><strong>Gut zu wissen:</strong> Sulfatfrei, mit Panthenol und Arganöl. Mild genug für die tägliche Wäsche; als Kur einmal pro Woche 5 Minuten einwirken lassen.</p>",LA DOCCIA,Kosmetik,"Kosmetik,haar,KI-Bild",TRUE,Title,Default Title,,,LD-P24,,shopify,25,deny,manual,16,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/24_trockenshampoo_a.webp,1,"Trockenshampoo, 150 ml",,active
ld-p24-trockenshampoo-150-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/24_trockenshampoo_b.webp,2,"Trockenshampoo, 150 ml",,
ld-p24-trockenshampoo-150-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/24_trockenshampoo_c.webp,3,"Trockenshampoo, 150 ml",,
ld-p25-zahnbuerste,Zahnbürste,"<p>p25</p><p><strong>Gut zu wissen:</strong> Borsten mittelweich, zahnfleischschonend. Alle 3 Monate wechseln — deshalb gibt es das Duo im Vorteilspack.</p>",LA DOCCIA,Kosmetik,"Kosmetik,mund,KI-Bild",TRUE,Title,Default Title,,,LD-P25,,shopify,25,deny,manual,6,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/25_zahnbuerste_a.webp,1,Zahnbürste,,active
ld-p25-zahnbuerste,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/25_zahnbuerste_b.webp,2,Zahnbürste,,
ld-p25-zahnbuerste,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/25_zahnbuerste_c.webp,3,Zahnbürste,,
ld-p28-paddle-haarbuerste,Paddle-Haarbürste,<p>p28</p><p><strong>Gut zu wissen:</strong> Feucht abwischen genügt. Bürsten regelmäßig von Haaren befreien und mit mildem Shampoo auswaschen — so halten sie Jahre.</p>,LA DOCCIA,Kosmetik,"Kosmetik,tools,KI-Bild",TRUE,Title,Default Title,,,LD-P28,,shopify,25,deny,manual,29,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/28_haarbuerste-paddle_a.webp,1,Paddle-Haarbürste,,active
ld-p28-paddle-haarbuerste,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/28_haarbuerste-paddle_b.webp,2,Paddle-Haarbürste,,
ld-p28-paddle-haarbuerste,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/28_haarbuerste-paddle_c.webp,3,Paddle-Haarbürste,,
ld-p29-taschenhaarbuerste,Taschenhaarbürste,<p>p29</p><p><strong>Gut zu wissen:</strong> Feucht abwischen genügt. Bürsten regelmäßig von Haaren befreien und mit mildem Shampoo auswaschen — so halten sie Jahre.</p>,LA DOCCIA,Kosmetik,"Kosmetik,tools,KI-Bild",TRUE,Title,Default Title,,,LD-P29,,shopify,25,deny,manual,16,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/29_taschenhaarbuerste_a.webp,1,Taschenhaarbürste,,active
ld-p29-taschenhaarbuerste,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/29_taschenhaarbuerste_b.webp,2,Taschenhaarbürste,,
ld-p29-taschenhaarbuerste,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/29_taschenhaarbuerste_c.webp,3,Taschenhaarbürste,,
ld-p30-kamm,Kamm,<p>p30</p><p><strong>Gut zu wissen:</strong> Feucht abwischen genügt. Bürsten regelmäßig von Haaren befreien und mit mildem Shampoo auswaschen — so halten sie Jahre.</p>,LA DOCCIA,Kosmetik,"Kosmetik,tools,KI-Bild",TRUE,Title,Default Title,,,LD-P30,,shopify,25,deny,manual,12,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/30_kamm_a.webp,1,Kamm,,active
ld-p30-kamm,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/30_kamm_b.webp,2,Kamm,,
ld-p30-kamm,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/30_kamm_c.webp,3,Kamm,,
ld-p31-nagelfeile,Nagelfeile,<p>p31</p><p><strong>Gut zu wissen:</strong> Feucht abwischen genügt. Bürsten regelmäßig von Haaren befreien und mit mildem Shampoo auswaschen — so halten sie Jahre.</p>,LA DOCCIA,Kosmetik,"Kosmetik,tools,KI-Bild",TRUE,Title,Default Title,,,LD-P31,,shopify,25,deny,manual,8,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/31_nagelfeile_b.webp,1,Nagelfeile,,active
ld-p31-nagelfeile,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/31_nagelfeile_c.webp,2,Nagelfeile,,
ld-p33-manikuere-etui-7-teilig,"Maniküre-Etui, 7-teilig","<p>p33</p><p><strong>Gut zu wissen:</strong> Werkzeuge aus rostfreiem Stahl, Etui feucht abwischbar. Auch als Geschenk eine sichere Wahl.</p>",LA DOCCIA,Kosmetik,"Kosmetik,tools,KI-Bild",TRUE,Title,Default Title,,,LD-P33,,shopify,25,deny,manual,39,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/33_manikuere-etui_a.webp,1,"Maniküre-Etui, 7-teilig",,active
ld-p33-manikuere-etui-7-teilig,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/33_manikuere-etui_b.webp,2,"Maniküre-Etui, 7-teilig",,
ld-p33-manikuere-etui-7-teilig,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/33_manikuere-etui_c.webp,3,"Maniküre-Etui, 7-teilig",,
ld-p34-pinzette,Pinzette,<p>p34</p><p><strong>Gut zu wissen:</strong> Feucht abwischen genügt. Bürsten regelmäßig von Haaren befreien und mit mildem Shampoo auswaschen — so halten sie Jahre.</p>,LA DOCCIA,Kosmetik,"Kosmetik,tools,KI-Bild",TRUE,Title,Default Title,,,LD-P34,,shopify,25,deny,manual,12,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/34_pinzette_a.webp,1,Pinzette,,active
ld-p34-pinzette,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/34_pinzette_b.webp,2,Pinzette,,
ld-p34-pinzette,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/34_pinzette_c.webp,3,Pinzette,,
ld-p37-gaestehandtuch-30-50-cm,"Gästehandtuch, 30 × 50 cm","<p>p37</p><p><strong>Gut zu wissen:</strong> Waschbar bei 60 °C, bitte ohne Weichspüler — er legt sich um die Fasern und mindert die Saugkraft. Trocknergeeignet bei niedriger Stufe.</p><p><strong>Material:</strong> 100 % Baumwolle, 600 g/m²</p>",LA DOCCIA,Textil,"Textil,tuecher,KI-Bild",TRUE,Farbe,Orange,,,LD-P37-ORA,,shopify,25,deny,manual,9,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/37_gaestehandtuch_a.webp,1,"Gästehandtuch, 30 × 50 cm",https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/37_gaestehandtuch_a.webp,active
ld-p37-gaestehandtuch-30-50-cm,,,,,,,,Türkis,,,LD-P37-TÜR,,shopify,25,deny,manual,9,TRUE,TRUE,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/39_duschtuch_a.webp,
ld-p37-gaestehandtuch-30-50-cm,,,,,,,,Violett,,,LD-P37-VIO,,shopify,25,deny,manual,9,TRUE,TRUE,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/38_handtuch-50x100_a.webp,
ld-p37-gaestehandtuch-30-50-cm,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/37_gaestehandtuch_b.webp,2,"Gästehandtuch, 30 × 50 cm",,
ld-p37-gaestehandtuch-30-50-cm,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/37_gaestehandtuch_c.webp,3,"Gästehandtuch, 30 × 50 cm",,
ld-p38-handtuch-50-100-cm,"Handtuch, 50 × 100 cm","<p>p38</p><p><strong>Gut zu wissen:</strong> Waschbar bei 60 °C, bitte ohne Weichspüler — er legt sich um die Fasern und mindert die Saugkraft. Trocknergeeignet bei niedriger Stufe.</p><p><strong>Material:</strong> 100 % Baumwolle, 600 g/m²</p>",LA DOCCIA,Textil,"Textil,tuecher,KI-Bild",TRUE,Farbe,Violett,,,LD-P38-VIO,,shopify,25,deny,manual,16,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/38_handtuch-50x100_a.webp,1,"Handtuch, 50 × 100 cm",https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/38_handtuch-50x100_a.webp,active
ld-p38-handtuch-50-100-cm,,,,,,,,Gelb,,,LD-P38-GEL,,shopify,25,deny,manual,16,TRUE,TRUE,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/40_badetuch_a.webp,
ld-p38-handtuch-50-100-cm,,,,,,,,Türkis,,,LD-P38-TÜR,,shopify,25,deny,manual,16,TRUE,TRUE,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/39_duschtuch_a.webp,
ld-p38-handtuch-50-100-cm,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/38_handtuch-50x100_b.webp,2,"Handtuch, 50 × 100 cm",,
ld-p38-handtuch-50-100-cm,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/38_handtuch-50x100_c.webp,3,"Handtuch, 50 × 100 cm",,
ld-p39-duschtuch-70-140-cm,"Duschtuch, 70 × 140 cm","<p>p39</p><p><strong>Gut zu wissen:</strong> Waschbar bei 60 °C, bitte ohne Weichspüler — er legt sich um die Fasern und mindert die Saugkraft. Trocknergeeignet bei niedriger Stufe.</p><p><strong>Material:</strong> 100 % Baumwolle, 600 g/m²</p>",LA DOCCIA,Textil,"Textil,tuecher,KI-Bild",TRUE,Farbe,Türkis,,,LD-P39-TÜR,,shopify,25,deny,manual,29,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/39_duschtuch_a.webp,1,"Duschtuch, 70 × 140 cm",https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/39_duschtuch_a.webp,active
ld-p39-duschtuch-70-140-cm,,,,,,,,Gelb,,,LD-P39-GEL,,shopify,25,deny,manual,29,TRUE,TRUE,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/40_badetuch_a.webp,
ld-p39-duschtuch-70-140-cm,,,,,,,,Violett,,,LD-P39-VIO,,shopify,25,deny,manual,29,TRUE,TRUE,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/38_handtuch-50x100_a.webp,
ld-p39-duschtuch-70-140-cm,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/39_duschtuch_b.webp,2,"Duschtuch, 70 × 140 cm",,
ld-p39-duschtuch-70-140-cm,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/39_duschtuch_c.webp,3,"Duschtuch, 70 × 140 cm",,
ld-p40-duschtuch-xl-100-180-cm,"Duschtuch XL, 100 × 180 cm","<p>p40</p><p><strong>Gut zu wissen:</strong> Waschbar bei 60 °C, bitte ohne Weichspüler — er legt sich um die Fasern und mindert die Saugkraft. Trocknergeeignet bei niedriger Stufe.</p><p><strong>Material:</strong> 100 % Baumwolle, 600 g/m²</p>",LA DOCCIA,Textil,"Textil,tuecher,KI-Bild",TRUE,Farbe,Gelb,,,LD-P40-GEL,,shopify,25,deny,manual,39,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/40_badetuch_a.webp,1,"Duschtuch XL, 100 × 180 cm",https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/40_badetuch_a.webp,active
ld-p40-duschtuch-xl-100-180-cm,,,,,,,,Türkis,,,LD-P40-TÜR,,shopify,25,deny,manual,39,TRUE,TRUE,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/39_duschtuch_a.webp,
ld-p40-duschtuch-xl-100-180-cm,,,,,,,,Violett,,,LD-P40-VIO,,shopify,25,deny,manual,39,TRUE,TRUE,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/38_handtuch-50x100_a.webp,
ld-p40-duschtuch-xl-100-180-cm,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/40_badetuch_b.webp,2,"Duschtuch XL, 100 × 180 cm",,
ld-p40-duschtuch-xl-100-180-cm,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/40_badetuch_c.webp,3,"Duschtuch XL, 100 × 180 cm",,
ld-p41-handtuch-set-4-teilig,"Handtuch-Set, 4-teilig","<p>p41</p><p><strong>Gut zu wissen:</strong> Waschbar bei 60 °C, bitte ohne Weichspüler — er legt sich um die Fasern und mindert die Saugkraft. Trocknergeeignet bei niedriger Stufe.</p><p><strong>Material:</strong> 100 % Baumwolle, 600 g/m²</p>",LA DOCCIA,Textil,"Textil,tuecher,KI-Bild",TRUE,Farbe,Gelb,,,LD-P41-GEL,,shopify,25,deny,manual,59,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/41_handtuch-set-4_a.webp,1,"Handtuch-Set, 4-teilig",,active
ld-p41-handtuch-set-4-teilig,,,,,,,,Orange,,,LD-P41-ORA,,shopify,25,deny,manual,59,TRUE,TRUE,,,,,
ld-p41-handtuch-set-4-teilig,,,,,,,,Türkis,,,LD-P41-TÜR,,shopify,25,deny,manual,59,TRUE,TRUE,,,,,
ld-p41-handtuch-set-4-teilig,,,,,,,,Violett,,,LD-P41-VIO,,shopify,25,deny,manual,59,TRUE,TRUE,,,,,
ld-p41-handtuch-set-4-teilig,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/41_handtuch-set-4_b.webp,2,"Handtuch-Set, 4-teilig",,
ld-p41-handtuch-set-4-teilig,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/41_handtuch-set-4_c.webp,3,"Handtuch-Set, 4-teilig",,
ld-p42-morgenmantel-frottee,Morgenmantel Frottee,"<p>p42</p><p><strong>Gut zu wissen:</strong> Waschbar bei 40 °C, kein Weichspüler. Vor dem ersten Tragen einmal waschen — dann ist der Flor am weichsten.</p><p><strong>Material:</strong> 100 % Baumwolle, 400 g/m²</p>",LA DOCCIA,Textil,"Textil,maentel,KI-Bild",TRUE,Größe,S,,,LD-P42-S,,shopify,25,deny,manual,99,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/42_morgenmantel-frottee_a.webp,1,Morgenmantel Frottee,,active
ld-p42-morgenmantel-frottee,,,,,,,,M,,,LD-P42-M,,shopify,25,deny,manual,99,TRUE,TRUE,,,,,
ld-p42-morgenmantel-frottee,,,,,,,,L,,,LD-P42-L,,shopify,25,deny,manual,99,TRUE,TRUE,,,,,
ld-p42-morgenmantel-frottee,,,,,,,,XL,,,LD-P42-XL,,shopify,25,deny,manual,99,TRUE,TRUE,,,,,
ld-p42-morgenmantel-frottee,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/42_morgenmantel-frottee_b.webp,2,Morgenmantel Frottee,,
ld-p42-morgenmantel-frottee,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/42_morgenmantel-frottee_c.webp,3,Morgenmantel Frottee,,
